project;month;test_gap_assessment;risk_score;score_LEN;score_COM;score_CLI;score_COC;score_ANF;score_UNF;score_ACF;score_UCF;score_RCF;score_RNF;score_CHF;score_CEN
subject 5;2023-11;safe;5,96969616;1;1;0,984848485;0;0;0;0;0;0;0;8,1E-07;1
subject 5;2023-11;risky;2,145795176;0,623376623;0,25;0,606060606;0;0;0;0;0;0;0;0,00104976;0,03067355
subject 5;2023-11;risky;1,796552615;0,324675325;0,5;0,272727273;0;0;0;0;0;0;0;0,00234256;0,214382652
subject 5;2023-07;risky;6,01989367;1;1;0,01002004;0;0;0;0;1;0;0;0,00014641;1
subject 5;2023-07;risky;4,269551062;0;0;0,997995992;1;0;0;0;0;0;0;0,023134407;0,148346742
subject 5;2023-07;risky;-0,015118375;0;0;0,004008016;0;0;0;0;0;0;0;0,023134407;0
subject 5;2023-07;risky;-0,015118375;0;0;0,004008016;0;0;0;0;0;0;0;0,023134407;0
subject 5;2023-07;risky;2,307868845;0;0;0,112224449;0,090909091;0;0;0;0;0;0;0,023134407;0,962368086
subject 5;2023-07;safe;-0,015118375;0;0;0,004008016;0;0;0;0;0;0;0;0,023134407;0
subject 5;2023-07;safe;2,243740589;0;0;0,080160321;0,090909091;0;0;0;0;0;0;0,023134407;0,962368086
subject 5;2023-07;safe;0,578696085;0;0;0,028056112;0,181818182;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-07;risky;2,411711903;0;0;0,316633267;0,727272727;0;0;0;0;0;0;0,023134407;0,173517161
subject 5;2023-07;risky;2,411711903;0;0;0,316633267;0,727272727;0;0;0;0;0;0;0,023134407;0,173517161
subject 5;2023-07;safe;0,380845839;0;0;0,02004008;0,090909091;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-07;safe;0,380845839;0;0;0,02004008;0,090909091;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-07;safe;0,420925999;0;0;0,04008016;0,090909091;0;0;0;0;0;0;0,023134407;0,091040952
